	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	25000,0000	25000,0000	17,0000	17,0000	13,0000	5,0000	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
	Naive Multiway	1,2793	1,5991	1,5991	1,5991	2,2387	2,2387	2,5585	2,8783	3,1981	3,1981	3,8378	0,9594	1,2793	1,2793	1,2793	1,5991	1,9189	1,9189	2,2387	2,5585	2,5585	2,8783	1,9189	1,9189	2,2387	2,2387	2,8783	3,1981	3,1981	3,5180	3,8378	4,1576	5,1170	
	Pooled Multiway	1,2793	1,5991	1,5991	1,5991	1,9189	2,2387	2,5585	2,8783	3,1981	3,1981	3,5180	0,9594	0,9594	1,2793	1,2793	1,5991	1,9189	1,9189	2,2387	2,5585	2,8783	2,8783	1,9189	2,2387	2,2387	2,2387	2,5585	2,8783	3,1981	3,5180	4,1576	4,4774	4,7972	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Find max depth	Flat	0,0000	0,0000	0,0000	0,3198	0,3198	0,3198	0,3198	0,6396	1,2793	2,2387	5,1170	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,3198	0,6396	0,9594	1,9189	4,7972	0,3198	0,3198	0,3198	0,3198	0,3198	0,6396	0,6396	0,9594	1,2793	2,5585	5,4368	
	Flat cached	0,0000	0,0000	0,0000	0,3198	0,3198	0,3198	0,3198	0,6396	1,2793	1,9189	5,1170	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,3198	0,6396	1,2793	1,9189	4,7972	0,3198	0,3198	0,3198	0,3198	0,3198	0,6396	0,6396	0,9594	1,5991	2,2387	5,4368	
	Flat cold	0,0000	0,0000	0,0000	0,3198	0,3198	0,3198	0,3198	0,9594	1,2793	2,2387	5,1170	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,3198	0,6396	0,9594	1,9189	4,7972	0,3198	0,3198	0,3198	0,3198	0,3198	0,6396	0,6396	0,9594	1,5991	2,5585	5,4368	
	Naive Pointer	0,9594	1,5991	2,8783	4,7972	10,2341	18,2294	32,6210	68,4402	126,9662	241,7795	596,4534	0,6396	1,2793	2,2387	4,1576	9,5944	17,5898	31,3418	65,8817	124,0879	235,0634	580,1429	1,5991	2,2387	3,5180	5,7567	11,1935	19,8285	35,4994	79,9535	146,4749	273,4411	641,8670	
	Pooled Pointer	0,9594	1,5991	3,1981	5,1170	10,8737	22,3870	48,2919	113,5340	212,0368	358,8315	905,3939	0,6396	1,2793	2,5585	4,4774	10,2341	21,1077	42,5353	86,6696	120,5699	219,0727	527,6933	1,5991	2,5585	4,1576	6,0765	11,8331	23,9861	52,4495	126,6464	235,3832	423,7537	1071,6972	
	Naive Multiway	0,6396	1,5991	2,5585	4,7972	13,7520	20,1483	29,7427	59,4854	109,6963	196,6857	499,2299	0,6396	1,2793	2,2387	4,4774	12,7926	18,8690	28,4635	56,9269	102,6603	190,2894	457,9739	0,9594	1,9189	3,1981	5,4368	14,7115	21,7474	31,9814	68,4402	123,4483	225,4690	812,6478	
